show_id,title,type,director,cast_lead,country,language,date_added,release_year,rating,duration_mins,seasons,genre,netflix_original,imdb_score,awards_won,budget_usd_millions,popularity_score
1,Stranger Things,TV Show,,Millie Bobby Brown,United States,English,2016-07-15,2016,TV-14,,4,Sci-Fi & Fantasy,Yes,8.7,12,30,98
2,Money Heist,TV Show,,Ursula Corbero,Spain,Spanish,2017-05-02,2017,TV-MA,,5,Crime,Yes,8.2,8,20,95
3,The Crown,TV Show,,Claire Foy,United Kingdom,English,2016-11-04,2016,TV-MA,,6,Drama,Yes,8.6,21,13,88
4,Bird Box,Movie,Susanne Bier,Sandra Bullock,United States,English,2018-12-21,2018,R,124,,Thriller,Yes,6.6,1,20,80
5,The Witcher,TV Show,,Henry Cavill,United States,English,2019-12-20,2019,TV-MA,,3,Fantasy,Yes,8.0,3,10,90
6,Roma,Movie,Alfonso Cuaron,Yalitza Aparicio,Mexico,Spanish,2018-12-14,2018,R,135,,Drama,Yes,7.7,10,15,70
7,Narcos,TV Show,,Wagner Moura,Colombia,Spanish,2015-08-28,2015,TV-MA,,3,Crime,Yes,8.8,4,7,86
8,Extraction,Movie,Sam Hargrave,Chris Hemsworth,United States,English,2020-04-24,2020,R,117,,Action,Yes,6.8,0,65,84
9,Sacred Games,TV Show,,Nawazuddin Siddiqui,India,Hindi,2018-07-06,2018,TV-MA,,2,Crime,Yes,8.5,2,4,79
10,Delhi Belly,Movie,Abhinay Deo,Imran Khan,India,Hindi,2019-03-15,2011,R,100,,Comedy,No,7.6,0,3,60
11,Ozark,TV Show,,Jason Bateman,United States,English,2017-07-21,2017,TV-MA,,4,Crime,Yes,8.4,4,4,89
12,The Irishman,Movie,Martin Scorsese,Robert De Niro,United States,English,2019-11-27,2019,R,209,,Drama,Yes,7.8,3,160,82
13,Lupin,TV Show,,Omar Sy,France,French,2021-01-08,2021,TV-MA,,2,Crime,Yes,7.5,1,6,83
14,Dark,TV Show,,Louis Hofmann,Germany,German,2017-12-01,2017,TV-MA,,3,Sci-Fi & Fantasy,Yes,8.8,2,5,91
15,Kaguya-sama: Love Is War,TV Show,,,Japan,Japanese,2020-01-01,2019,TV-14,,3,Anime,No,8.4,1,2,68
16,Jaane Bhi Do Yaaro,Movie,Kundan Shah,Naseeruddin Shah,India,Hindi,2020-06-10,1983,PG,120,,Comedy,No,8.2,0,1,55
17,The Umbrella Academy,TV Show,,Elliot Page,United States,English,2019-02-15,2019,TV-14,,3,Sci-Fi & Fantasy,Yes,7.9,1,7,85
18,Marriage Story,Movie,Noah Baumbach,Adam Driver,United States,English,2019-12-06,2019,R,137,,Drama,Yes,7.9,6,18,73
19,Squid Game,TV Show,,Lee Jung-jae,South Korea,Korean,2021-09-17,2021,TV-MA,,2,Thriller,Yes,8.0,6,21,99
20,Elite,TV Show,,Itzan Escamilla,Spain,Spanish,2018-10-05,2018,TV-MA,,7,Drama,Yes,7.5,0,3,81
21,The Half of It,Movie,Alice Wu,Leah Lewis,United States,English,2020-05-01,2020,PG-13,104,,Romance,Yes,7.4,0,4,58
22,Kota Factory,TV Show,,Jitendra Kumar,India,Hindi,2019-04-16,2019,TV-14,,3,Drama,No,9.1,2,1,75
23,Alice in Borderland,TV Show,,Kento Yamazaki,Japan,Japanese,2020-12-10,2020,TV-MA,,2,Sci-Fi & Fantasy,Yes,7.7,1,8,82
24,The Platform,Movie,Galder Gaztelu-Urrutia,Ivan Massague,Spain,Spanish,2020-03-20,2019,R,94,,Thriller,Yes,7.0,3,3,76
25,Emily in Paris,TV Show,,Lily Collins,United States,English,2020-10-02,2020,TV-MA,,3,Comedy,Yes,6.8,0,6,87
26,Klaus,Movie,Sergio Pablos,Jason Schwartzman,Spain,English,2019-11-15,2019,PG,97,,Animation,Yes,8.2,1,40,72
27,The Queen's Gambit,TV Show,,Anya Taylor-Joy,United States,English,2020-10-23,2020,TV-MA,,1,Drama,Yes,8.6,11,10,93
28,Article 15,Movie,Anubhav Sinha,Ayushmann Khurrana,India,Hindi,2020-01-01,2019,R,130,,Crime,No,8.1,4,2,63
29,Peaky Blinders,TV Show,,Cillian Murphy,United Kingdom,English,2019-08-01,2013,TV-MA,,6,Crime,No,8.8,3,3,88
30,Pan's Labyrinth,Movie,Guillermo del Toro,Ivana Baquero,Mexico,Spanish,2019-06-01,2006,R,118,,Fantasy,No,8.2,3,19,65
31,Wednesday,TV Show,,Jenna Ortega,United States,English,2022-11-23,2022,TV-14,,1,Comedy,Yes,8.1,4,90,97
